study_name,schedule,seed,N,best_objective,feasible_evaluations,early_rejections,winner_flag,status_label
schedule_sensitivity_first_pass_n3_n4,early_dense,17,3,0.2588256646536539,13,0,1,sensitivity_only
schedule_sensitivity_first_pass_n3_n4,early_dense,17,4,0.3035365256523232,3,10,0,sensitivity_only
schedule_sensitivity_first_pass_n3_n4,late_dense,17,3,0.27119559362661283,12,1,0,sensitivity_only
schedule_sensitivity_first_pass_n3_n4,late_dense,17,4,0.25668603780825267,11,2,1,sensitivity_only
schedule_sensitivity_first_pass_n3_n4,uniform,17,3,0.2538915393641013,12,1,0,sensitivity_only
schedule_sensitivity_first_pass_n3_n4,uniform,17,4,0.25334051379737677,12,1,1,sensitivity_only
uniform_confirmation_n3_n4_multiseed_seed17,uniform,17,3,0.2545899716666302,22,1,0,working_default
uniform_confirmation_n3_n4_multiseed_seed17,uniform,17,4,0.24731532663259,20,3,1,challenger
uniform_confirmation_n3_n4_multiseed_seed29,uniform,29,3,0.2538915393641013,22,1,1,working_default
uniform_confirmation_n3_n4_multiseed_seed29,uniform,29,4,0.27291516816855416,21,2,0,challenger
uniform_confirmation_n3_n4_multiseed_seed41,uniform,41,3,0.2538915393641013,22,1,0,working_default
uniform_confirmation_n3_n4_multiseed_seed41,uniform,41,4,0.24647092197133064,20,3,1,challenger
